Shrew_ID,Species,Site,Transect,Zone,Season,Date,Time,Sex,Weight_(g),Total_Length,Head_Length,Body_Length,Front_Limb_Length,Rear_Limb_Length
W59,Pygmy,IE35B,West,Edge,Winter,21/02/2018,F,11:00,3.1,95.8,19.7,35.7,18.3,24.5
W60,Pygmy,IE35B,West,Edge,Winter,21/02/2018,F,11:15,3.1,98.2,19.5,38.3,18.6,25.1
W61,Pygmy,IE35B,West,Edge,Winter,21/02/2018,M,11:15,3.1,91.5,20.3,34.3,19,25.4
W62,GWTS,IE35B,West,Edge,Winter,21/02/2018,M,11:45,12.1,120,26,50.6,26.2,28.5
W63,Pygmy,IE35B,West,Edge,Winter,21/02/2018,M,13:15,2.9,97.5,20.1,39.4,19,24
W64,GWTS,IE35B,West,Edge,Winter,21/02/2018,F,13:15,12.2,116.9,23,53.2,25.2,29.3
W65,GWTS,IE35B,West,Edge,Winter,21/02/2018,M,13:15,10.6,119,24.5,49.3,25.8,28.4
W66,GWTS,IE35B,West,Edge,Winter,21/02/2018,M,13:15,9,117.5,24.8,51,25.5,29.4
W67,GWTS,IE35B,West,Edge,Winter,21/02/2018,F,14:00,12.6,114.5,23.6,55,24.3,27.3
W68,GWTS,IE35B,West,Edge,Winter,21/02/2018,F,15:00,12.7,120.3,24.9,56.5,25,27
W69,GWTS,IE35B,West,Edge,Winter,21/02/2018,M,15:15,11.4,122.2,24.6,50.8,25.7,29.4
W70,Pygmy,IE35B,West,Edge,Winter,21/02/2018,F,16:30,3.2,93.4,20.5,37,19.6,24.1
W71,Pygmy,IE35B,West,Edge,Winter,21/02/2018,M,16:30,3.1,91,20,33.3,19.7,22.7
W77,Pygmy,IE35B,West,Edge,Winter,22/02/2018,M,18:15,2.9,95,20.2,37.2,19.5,24.8
W78,Pygmy,IE35B,West,Edge,Winter,22/02/2018,M,18:15,3,92.2,19.5,37.1,19.5,23.5
W19,GWTS,IE37,West,Edge,Summer,24/08/2017,Unknown,14:00,9.7,111,24.5,43,21.5,27
W20,GWTS,IE37,West,Edge,Summer,24/08/2017,Unknown,14:00,10.2,112.5,23.4,46.2,24,27
W21,Pygmy,IE37,West,Edge,Summer,24/08/2017,Unknown,14:30,3.5,87.5,20,33.7,16.3,21.4
W22,GWTS,IE37,West,Edge,Summer,24/08/2017,Unknown,14:30,10.1,116.8,25.5,46.8,22.3,26.6
W23,GWTS,IE37,West,Edge,Summer,24/08/2017,Unknown,17:00,12.5,116.5,25.2,51.3,23,29.6
W24,Pygmy,IE37,West,Edge,Summer,25/08/2017,Unknown,11:00,3.4,91,20.2,32.3,15.5,22
W25,GWTS,IE37,West,Edge,Summer,25/08/2017,Unknown,12:00,10.2,117,24.5,46,20.7,28.4
W26,GWTS,IE37,West,Edge,Summer,25/08/2017,Unknown,13:30,10.8,113.5,24.4,48.3,21.2,27
W27,GWTS,IE37,West,Edge,Summer,05/09/2017,Unknown,14:30,7.8,108.7,23.3,35.8,18.5,26.5
W28,Pygmy,IE37,West,Edge,Summer,05/09/2017,Unknown,16:00,3.4,87.5,19.5,32,14,2.2
W29,GWTS,IE37,West,Edge,Summer,05/09/2017,Unknown,14:30,12,119.8,24.1,46.1,22.8,28.5
W30,GWTS,IE37,West,Edge,Summer,05/09/2017,Unknown,14:30,11,120.3,26.8,42.5,21.8,26.3
W31,GWTS,IE37,West,Edge,Summer,05/09/2017,Unknown,14:45,11.4,118.5,26.1,46.2,20.8,26.2
W32,Pygmy,IE37,West,Edge,Summer,05/09/2017,Unknown,17:45,3,84,19.2,30.6,15.5,21.3
W33,Pygmy,IE37B,West,Edge,Summer,06/09/2017,Unknown,11:00,3.1,86.6,19.2,31.8,15.3,24
W34,Pygmy,IE37B,West,Edge,Summer,06/09/2017,Unknown,11:30,3,92.3,19,36,16,22
W35,Pygmy,IE37B,West,Edge,Summer,06/09/2017,Unknown,13:45,3.4,83.5,17.8,34.7,17,22.9
W36,Pygmy,IE37B,West,Edge,Summer,06/09/2017,Unknown,14:20,3.1,87.5,18.5,33.3,16.5,22.4
E41,GWTS,IE41,East,Inside,Winter,18/02/2018,Unknown,,11.3,109.5,23,44.8,23.7,28.2
E42,GWTS,IE41,East,Inside,Winter,18/02/2018,Unknown,,13.1,110.2,24.5,47.7,24.5,28.6
E43,GWTS,IE41,East,Inside,Winter,18/02/2018,Unknown,,13.8,108.5,26.5,50.7,23,29.2
E44,GWTS,IE41,East,Inside,Winter,18/02/2018,Unknown,,14,112,26.8,52.5,23.4,31
E45,GWTS,IE38,West,Inside,Winter,19/02/2018,M,13:30,11.6,113.6,25.8,50.8,26.6,28.5
