Sample,shrew_zone,shrew_tran,Shrew,Transect,Zone,Season,Control,Trap_Site,Date,Sex,Time,Weight
FR11,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR01,11/10/2017,unknown,11:00,9.4
FR12,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR01C,11/10/2017,unknown,12:30,3.8
FR13,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR01C,11/10/2017,unknown,12:30,8.2
FR14,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR04,12/10/2017,unknown,12:00,3.8
FR15,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR04,12/10/2017,unknown,13:45,3.4
FR16,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR04,12/10/2017,unknown,17:00,4.1
FR17,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR04,12/10/2017,unknown,19:00,3.6
FR18,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR05,13/10/2017,unknown,11:30,3.7
FR19,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR05,13/10/2017,unknown,11:30,4
FR20,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR05,13/10/2017,unknown,11:30,8.1
FR21,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR05,13/10/2017,unknown,11:30,9
FR22,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR06,13/10/2017,unknown,12:45,4.1
FR23,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR05,13/10/2017,unknown,14:40,9.2
FR24,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR05,13/10/2017,unknown,14:40,8.3
FR25,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR05,13/10/2017,unknown,14:40,10.5
FR26,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR06,13/10/2017,unknown,15:00,3.8
FR27,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR06,13/10/2017,unknown,15:00,4
FR28,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR06,13/10/2017,unknown,17:45,7
FR29,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR05,13/10/2017,unknown,19:30,3.4
FR30,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR06,13/10/2017,unknown,19:45,3.4
FR31,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR06,13/10/2017,unknown,19:45,8.9
FR32,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR06,13/10/2017,unknown,19:45,8.5
FR33,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR07,15/10/2017,unknown,11:30,3.6
FR34,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR07,15/10/2017,unknown,11:30,9
FR35,GWTS_France,GWTS_France,GWTS,France,France,Summer,No,FR07,15/10/2017,unknown,11:30,9.3
FR36,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR07,15/10/2017,unknown,14:00,3.5
FR37,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR08,15/10/2017,unknown,14:30,3.9
FR38,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR09,16/10/2017,unknown,11:30,4
FR39,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR10,16/10/2017,unknown,15:50,3.6
FR40,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,No,FR01,17/10/2017,unknown,11:25,3.1
FR41,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR06,23/03/2018,F,15:00,4.4
FR42,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR06,23/03/2018,M,15:00,9.1
FR43,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR06,23/03/2018,M,15:15,11.3
FR44,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR06,23/03/2018,F,15:15,11.2
FR45,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR08,23/03/2018,M,16:00,11
FR46,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR08,23/03/2018,F,16:00,9.6
FR47,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR08,23/03/2018,M,16:00,9.6
FR48,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR08,23/03/2018,F,16:00,4.5
FR49,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR08,23/03/2018,M,16:00,5.1
FR50,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR08,23/03/2018,F,16:00,11.1
FR51,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR08,23/03/2018,M,16:00,10
FR52,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR06,23/03/2018,F,17:15,11.7
FR53,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR06,23/03/2018,M,19:00,5
FR54,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR06,23/03/2018,M,19:00,5.2
FR55,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR08,23/03/2018,F,19:30,4.6
FR56,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR13,24/03/2018,F,11:00,4.3
FR57,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR13,24/03/2018,M,11:00,5.4
FR58,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR13,24/03/2018,F,11:00,4
FR59,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR13B,24/03/2018,M,12:20,5.8
FR60,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR13B,24/03/2018,F,12:20,10.2
FR61,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR13,24/03/2018,M,12:30,5.2
FR62,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR13,24/03/2018,M,12:30,11.4
FR63,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR13,24/03/2018,F,14:45,4.1
FR64,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR13,24/03/2018,M,14:45,5
FR65,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR13,24/03/2018,M,14:45,11.4
FR66,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR13,24/03/2018,F,14:45,9.6
FR67,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR01,24/03/2018,M,16:45,6
FR68,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR01,24/03/2018,F,16:45,12.5
FR69,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR01,24/03/2018,M,16:45,10.4
FR70,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR01,24/03/2018,F,18:45,4.4
FR71,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR01,24/03/2018,F,18:45,4.8
FR72,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR01,24/03/2018,M,18:45,5
FR73,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR01,24/03/2018,M,19:00,5.4
FR74,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR01,24/03/2018,M,19:00,5.6
FR75,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR01,24/03/2018,M,19:00,5.9
FR76,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR01,24/03/2018,M,19:00,10.5
FR77,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR01,24/03/2018,M,19:00,11.4
FR78,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR02,26/03/2018,M,11:30,10.6
FR79,Pygmy_France,Pygmy_France,Pygmy,France,France,Winter,No,FR02,26/03/2018,M,13:30,4.9
FR80,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR02,26/03/2018,M,14:00,11.9
FR81,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR15,27/03/2018,F,15:00,11.9
FR82,GWTS_France,GWTS_France,GWTS,France,France,Winter,No,FR15,27/03/2018,M,15:00,10.5
PCR_BLNK1,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK2,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
